"","Season","School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"138",2003,"Southern Methodist","WAC","17","13","72.8","72.8","0.00","1.76","2.92","-1.16","1.76"
"139",2003,"Air Force","MWC","12","16","57.3","57.0","0.25","1.46","-13.17","14.87","1.71"
"140",2003,"Drexel","CAA","19","12","68.6","65.2","3.45","-1.45","-0.66","2.22","1.56"
"141",2003,"Denver","Sun Belt (West)","17","15","70.9","69.1","1.81","-0.28","0.68","0.86","1.53"
"142",2003,"College of Charleston","Southern (South)","25","8","74.6","67.7","6.91","-3.18","0.05","1.16","1.21"
"143",2003,"Bradley","MVC","12","18","73.5","72.3","1.17","1.20","2.91","-1.78","1.13"
"144",2003,"Boston University","AEC","20","11","67.7","63.2","4.52","-3.42","-3.23","4.32","1.10"
"145",2003,"Middle Tennessee","Sun Belt (East)","16","14","68.4","67.7","0.77","0.92","-0.92","1.92","1.00"
"146",2003,"Northern Illinois","MAC (West)","17","14","69.6","69.8","-0.19","1.11","-0.54","1.46","0.92"
"147",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"148",2003,"Pepperdine","WCC","15","13","78.4","78.7","-0.32","1.79","9.99","-9.14","0.86"
"149",2003,"Loyola (IL)","Horizon","15","16","74.5","74.6","-0.16","0.97","5.42","-4.61","0.81"
"150",2003,"Tennessee Tech","OVC","20","12","75.7","68.7","7.00","-2.96","0.61","0.16","0.77"
"151",2003,"Southern Mississippi","CUSA (National)","13","16","66.9","70.1","-3.24","3.85","-1.06","1.67","0.61"
"152",2003,"South Alabama","Sun Belt (West)","14","14","73.0","71.4","1.61","2.16","0.91","-0.39","0.52"
"153",2003,"Texas Christian","CUSA (National)","9","19","76.6","80.4","-3.79","4.22","8.22","-7.78","0.44"
"154",2003,"Chattanooga","Southern (South)","21","9","81.2","74.0","7.13","-3.64","6.90","-6.50","0.40"
"155",2003,"Princeton","Ivy","16","11","66.5","62.1","4.37","-2.60","-3.54","3.82","0.29"
"156",2003,"Davidson","Southern (North)","17","10","80.7","71.1","9.63","-2.25","3.45","-3.25","0.21"
"157",2003,"Morehead State","OVC","20","9","81.2","73.4","7.79","-4.00","5.46","-5.31","0.15"
"158",2003,"Oral Roberts","Mid-Cont","18","10","77.5","70.2","7.29","-5.73","2.53","-2.41","0.12"
"159",2003,"Central Florida","A-Sun (South)","21","11","71.6","65.8","5.88","-5.84","-2.12","2.19","0.07"
"160",2003,"La Salle","A-10 (West)","12","17","68.3","71.4","-3.10","3.16","0.27","-0.21","0.06"
"161",2003,"Arkansas State","Sun Belt (East)","13","15","74.0","68.5","5.50","-1.37","2.47","-2.53","-0.06"
"162",2003,"Iona","MAAC","17","12","75.0","71.5","3.48","-3.59","2.07","-2.16","-0.09"
"163",2003,"Old Dominion","CAA","12","15","66.6","64.6","2.04","-2.20","-2.78","2.62","-0.16"
"164",2003,"New Orleans","Sun Belt (West)","15","14","70.7","69.3","1.38","0.28","-0.68","0.46","-0.22"
"165",2003,"Fairfield","MAAC","19","12","70.9","70.1","0.81","-1.06","-0.52","0.27","-0.25"
"166",2003,"New Mexico","MWC","10","18","70.9","73.3","-2.32","4.06","2.69","-3.18","-0.50"
"167",2003,"Ball State","MAC (West)","13","17","73.3","76.0","-2.73","2.17","5.29","-5.85","-0.57"
"168",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"169",2003,"Evansville","MVC","12","16","70.0","73.7","-3.68","2.97","3.19","-3.90","-0.71"
"170",2003,"Marshall","MAC (East)","14","15","73.3","72.2","1.07","-0.63","1.16","-1.90","-0.74"
"171",2003,"Akron","MAC (East)","14","14","78.6","77.0","1.64","-1.43","7.65","-8.45","-0.80"
"172",2003,"Austin Peay","OVC","23","8","71.1","67.8","3.32","-1.98","-4.25","3.41","-0.84"
"173",2003,"East Tennessee State","Southern (North)","20","11","82.0","75.2","6.81","-2.94","6.53","-7.43","-0.90"
"174",2003,"Arkansas-Little Rock","Sun Belt (East)","18","12","70.8","70.4","0.47","-0.91","-0.10","-0.84","-0.94"
"175",2003,"Ohio","MAC (East)","14","16","71.3","74.7","-3.37","2.41","2.49","-3.45","-0.96"
"176",2003,"Boise State","WAC","13","16","65.4","66.3","-0.93","0.07","-3.98","3.01","-0.97"
"177",2003,"Pacific","Big West","12","16","65.9","66.0","-0.07","-0.95","-2.49","1.47","-1.02"
"178",2003,"Yale","Ivy","14","13","69.3","66.1","3.22","-2.45","-0.57","-0.50","-1.07"
"179",2003,"Delaware","CAA","15","14","68.6","68.3","0.31","-1.54","-0.25","-0.97","-1.22"
"180",2003,"Stephen F. Austin","Southland","21","8","72.4","62.9","9.52","-7.98","-2.96","1.72","-1.24"
"181",2003,"Vermont","AEC","21","12","68.9","64.0","4.97","-4.85","-4.67","3.36","-1.32"
"182",2003,"American","Patriot","16","14","66.4","61.9","4.47","-5.85","-4.24","2.86","-1.38"
"183",2003,"Louisiana Tech","WAC","12","15","68.7","70.9","-2.19","2.93","-0.23","-1.16","-1.39"
"184",2003,"Washington State","Pac-10","7","20","70.6","78.8","-8.19","6.73","1.99","-3.44","-1.45"
"185",2003,"Sam Houston State","Southland","23","7","72.8","65.0","7.80","-6.87","-1.13","-0.52","-1.65"
"186",2003,"Appalachian State","Southern (North)","19","10","83.9","79.6","4.31","-3.46","10.47","-12.39","-1.92"
"187",2003,"Massachusetts","A-10 (East)","11","18","61.7","66.5","-4.83","3.52","-5.86","3.88","-1.98"
"188",2003,"Penn State","Big Ten","7","21","63.1","72.9","-9.79","7.71","-1.39","-0.69","-2.08"
"189",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"190",2003,"Northern Iowa","MVC","11","17","65.4","67.7","-2.32","1.47","-2.89","0.80","-2.09"
"191",2003,"Bowling Green State","MAC (West)","13","16","67.7","69.4","-1.72","1.95","-3.67","1.47","-2.20"
"192",2003,"Cal State Northridge","Big West","14","15","71.5","69.3","2.21","-2.20","0.47","-2.74","-2.27"
"193",2003,"Belmont","A-Sun (North)","17","12","72.7","70.0","2.72","-4.05","-0.41","-1.89","-2.30"
"194",2003,"Brown","Ivy","17","12","73.9","72.7","1.28","-3.60","4.44","-6.77","-2.33"
"195",2003,"Cal Poly","Big West","16","14","68.2","68.6","-0.37","-1.51","-1.02","-1.35","-2.37"
"196",2003,"Oakland","Mid-Cont","17","11","78.8","74.4","4.39","-5.05","4.71","-7.12","-2.40"
"197",2003,"IUPUI","Mid-Cont","20","14","71.3","70.8","0.50","-1.80","-0.46","-1.97","-2.43"
"198",2003,"Niagara","MAAC","17","12","74.6","74.8","-0.24","-2.23","3.86","-6.33","-2.47"
"199",2003,"Montana","Big Sky","13","17","69.0","70.9","-1.90","-0.71","0.10","-2.74","-2.64"
"200",2003,"Houston","CUSA (National)","8","20","58.3","66.2","-7.96","4.94","-9.79","6.76","-3.03"
"201",2003,"Eastern Illinois","OVC","14","15","77.3","78.2","-0.93","-1.92","4.93","-8.10","-3.17"
"202",2003,"Canisius","MAAC","10","18","70.3","71.1","-0.89","-2.34","-1.48","-1.76","-3.23"
"203",2003,"Loyola Marymount","WCC","11","20","70.4","73.6","-3.23","0.04","-0.29","-2.94","-3.23"
"204",2003,"Idaho State","Big Sky","15","14","71.2","70.6","0.62","-2.66","1.26","-4.51","-3.25"
"205",2003,"Green Bay","Horizon","10","20","67.6","72.0","-4.33","0.68","-1.51","-1.81","-3.32"
"206",2003,"Wagner","NEC","21","11","75.1","71.9","3.16","-6.48","0.73","-4.06","-3.33"
"207",2003,"Illinois State","MVC","8","21","64.6","70.2","-5.59","2.18","-4.08","0.67","-3.41"
"208",2003,"Northern Arizona","Big Sky","15","13","72.8","71.8","1.00","-3.25","-0.40","-3.24","-3.64"
"209",2003,"Eastern Michigan","MAC (West)","14","14","78.9","78.6","0.29","-0.91","6.93","-10.76","-3.84"
"210",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"211",2003,"Mercer","A-Sun (South)","23","6","78.3","72.6","5.76","-9.03","3.43","-7.32","-3.89"
"212",2003,"Idaho","Big West","13","15","62.8","63.4","-0.61","-2.49","-7.49","3.34","-4.16"
"213",2003,"Drake","MVC","10","20","67.2","70.2","-2.97","1.47","-4.64","0.36","-4.28"
"214",2003,"Maine","AEC","14","16","73.5","69.4","4.10","-5.04","-1.94","-2.43","-4.37"
"215",2003,"Duquesne","A-10 (West)","9","21","66.7","73.4","-6.67","2.29","-1.40","-2.98","-4.38"
"216",2003,"Texas State","Southland","17","12","72.6","67.3","5.24","-7.59","-0.24","-4.21","-4.45"
"217",2003,"Portland","WCC","11","17","67.7","72.1","-4.43","1.07","-1.96","-2.60","-4.56"
"218",2003,"Santa Clara","WCC","13","15","65.3","68.8","-3.50","-0.11","-6.05","1.46","-4.59"
"219",2003,"Wright State","Horizon","10","18","68.1","72.4","-4.25","0.48","-2.25","-2.46","-4.71"
"220",2003,"Montana State","Big Sky","11","16","64.9","65.5","-0.56","-2.27","-7.62","2.87","-4.75"
"221",2003,"Binghamton","AEC","14","13","66.6","66.2","0.37","-5.13","-5.77","1.01","-4.76"
"222",2003,"James Madison","CAA","13","17","67.2","68.5","-1.23","-2.45","-3.89","-0.87","-4.76"
"223",2003,"Marist","MAAC","13","16","71.3","74.1","-2.79","-2.16","0.12","-5.07","-4.96"
"224",2003,"Wofford","Southern (South)","14","15","76.2","73.9","2.31","-1.83","1.70","-6.69","-4.99"
"225",2003,"Northeastern","AEC","16","15","73.9","71.1","2.77","-4.81","0.47","-5.56","-5.09"
"226",2003,"Rider","MAAC","12","16","67.0","68.6","-1.61","-3.60","-5.02","-0.18","-5.20"
"227",2003,"Florida International","Sun Belt (East)","8","21","60.5","64.4","-3.93","-0.19","-9.91","4.65","-5.27"
"228",2003,"Hartford","AEC","16","13","65.8","64.0","1.76","-5.50","-6.41","0.94","-5.47"
"229",2003,"Samford","A-Sun (North)","13","15","64.0","65.5","-1.43","-3.86","-10.04","4.37","-5.67"
"230",2003,"Jacksonville State","A-Sun (North)","20","10","75.6","71.5","4.13","-7.23","0.25","-6.00","-5.75"
"231",2003,"School","Conf","W","L","Pts","Opp","MOV","SOS","OSRS","DSRS","SRS"
"232",2003,"Harvard","Ivy","12","15","71.4","73.3","-1.89","-3.65","1.63","-7.43","-5.80"
"233",2003,"Georgia State","A-Sun (North)","14","15","74.0","73.7","0.28","-5.85","0.75","-6.85","-6.10"
"234",2003,"Texas-Arlington","Southland","16","13","64.1","62.7","1.38","-6.17","-9.36","3.23","-6.13"
"235",2003,"Lehigh","Patriot","16","12","65.3","63.5","1.79","-6.62","-5.87","-0.71","-6.59"
"236",2003,"Bucknell","Patriot","14","15","58.2","58.8","-0.66","-4.97","-12.61","6.00","-6.61"
